citta_uniche,DENOMINAZIONE_ITA_ALTRA,LAT,LON
MONZA,MONZA,45.5843974,9.2735825
BOLOGNA,BOLOGNA,44.494358,11.3417204
FIRENZE,FIRENZE,43.7692112,11.2558881
PUNTA,,,
VENEZIA,VENEZIA,45.4349103,12.3384525
MILANO,MILANO,45.4667993,9.1903474
LA SPEZIA,LA SPEZIA,44.107035,9.8281895
CASERTA,CASERTA,41.0746018,14.3324002
PALERMO,PALERMO,38.115599,13.3623509
ROMA,ROMA,41.892724,12.4836647
NOVATE,,,
CASSINO,CASSINO,41.4926247,13.8301244
BRINDISI,BRINDISI,40.6384255,17.9460157
CHIUSI,CHIUSI,43.016703,11.9476196
ANCONA,ANCONA,43.616739,13.5188738
CALTANISSETTA,CALTANISSETTA,37.4920259,14.0618427
BELLUNO,BELLUNO,46.1383911,12.2170426
S.BENEDETTO,,,
FOLIGNO,FOLIGNO,42.9556643,12.7035851
CIVITAVECCHIA,CIVITAVECCHIA,42.0920861,11.7933771
ALESSANDRIA,ALESSANDRIA,44.9129705,8.6154012
NOVARA,NOVARA,45.44589,8.6219159
STABIO,,,
VARESE,VARESE,45.8170272,8.8228683
FAENZA,FAENZA,44.2854254,11.8827966
PORTOGRUARO,PORTOGRUARO,45.7757764,12.8374106
SAVONA,SAVONA,44.3074927,8.4811088
PARMA,PARMA,44.8010694,10.3283497
TORINO,TORINO,45.073274,7.6806875
CIAMPINO,CIAMPINO,41.8028358,12.6016862
PISA,PISA,43.7155115,10.4012721
BERGAMO,BERGAMO,45.6944223,9.6684246
TREVISO,TREVISO,45.6675545,12.2450742
NAPOLI,NAPOLI,40.8395051,14.2508452
M,,,
SARONNO,SARONNO,45.6237471,9.0364046
PERUGIA,PERUGIA,43.1067296,12.3882454
PIAZZA,,,
COMO,COMO,45.8100015,9.0851596
SESTRI,,,
NOVI,,,
BUSSOLENO,BUSSOLENO,45.1372801,7.1493187
SESSA,,,
PESARO,PESARO,43.9101234,12.9134588
CHIASSO,,,
FABRIANO,FABRIANO,43.3362434,12.9047222
FOSSANO,FOSSANO,44.5493897,7.7248703
SIENA,SIENA,43.3181376,11.3319089
MESSINA,MESSINA,38.1938629,15.5557152
TRIESTE,TRIESTE,45.6494447,13.7681374
BARI,BARI,41.1255417,16.8673637
SALERNO,SALERNO,40.6781573,14.7593976
SIBARI,,,
ISEO,ISEO,45.6598374,10.0500441
CUNEO,CUNEO,44.3932857,7.5511719
BRA,BRA,44.6981762,7.8547477
SONDRIO,SONDRIO,46.1710083,9.8714751
CATANZARO,CATANZARO,38.9058909,16.5943952
DOMODOSSOLA,DOMODOSSOLA,46.1153096,8.2920422
SULMONA,SULMONA,42.0477632,13.9240519
LAMEZIA,,,
SAPRI,SAPRI,40.0738571,15.6307248
POGGIO,,,
TIVOLI,TIVOLI,41.9634531,12.7984664
MORTARA,MORTARA,45.2518398,8.7380653
REGGIO,,,
RAVENNA,RAVENNA,44.4172153,12.1991388
CATANIA,CATANIA,37.5027731,15.0870388
PIACENZA,PIACENZA,45.0519337,9.6926326
MANTOVA,MANTOVA,45.1572685,10.7927737
AREZZO,AREZZO,43.4664037,11.8822873
BORGO,,,
PORTO,,,
FOGGIA,FOGGIA,41.4622181,15.5430467
PISTOIA,PISTOIA,43.9334478,10.9173409
CAGLIARI,CAGLIARI,39.215227,9.1106162
CREMONA,CREMONA,45.1333671,10.0242087
SACILE,SACILE,45.95429,12.5030375
LUCCA,LUCCA,43.8443042,10.5015132
BOLZANO,,,
PESCARA,PESCARA,42.4645468,14.2136453
FERRARA,FERRARA,44.8359872,11.6186892
CHIVASSO,CHIVASSO,45.1885564,7.8871395
VELLETRI,VELLETRI,41.6863324,12.7771939
VICENZA,VICENZA,45.5475038,11.5459714
MODENA,MODENA,44.6459934,10.9261547
PAVIA,PAVIA,45.1850937,9.1601572
ORTE,ORTE,42.4604068,12.3863899
LIVORNO,LIVORNO,43.5523257,10.3086776
PADOVA,PADOVA,45.4069347,11.8760874
MALPENSA,,,
ROCCELLA,,,
COSENZA,COSENZA,39.2930066,16.2560903
CROTONE,CROTONE,39.0802866,17.125383
PONTREMOLI,PONTREMOLI,44.3773761,9.8829482
GROSSETO,GROSSETO,42.7602332,11.1135628
MACERATA,MACERATA,43.3002138,13.45307
GUIDONIA-MONTECELIO-S.ANGELO,,,
BIELLA,BIELLA,45.5665179,8.0540821
SANTHIA`,,,
S.AGATA,,,
TRENTO,TRENTO,46.0689495,11.1212315
MANIAGO,MANIAGO,46.1710618,12.7081682
CASARSA,,,
PINEROLO,PINEROLO,44.8873317,7.3320011
RIVAROLO,,,
FROSINONE,FROSINONE,41.6395961,13.3511683
TREVIGLIO,TREVIGLIO,45.5217708,9.59265
BRESCIA,BRESCIA,45.5399369,10.2191034
TARANTO,TARANTO,40.4734845,17.2323685
FASANO,FASANO,40.8343449,17.3589861
PIADENA,,,
MONTEBELLUNA,MONTEBELLUNA,45.7761362,12.0451119
VOGHERA,VOGHERA,44.9931233,9.0085236
SUSA,SUSA,45.1352513,7.0464196
LECCO,LECCO,45.8557688,9.3933923
PONTE,PONTE,41.2129604,14.6899697
MARIANO,,,
SEVESO,SEVESO,45.6473597,9.1385122
PORRETTA,,,
BASSANO,,,
NETTUNO,NETTUNO,41.4574362,12.6614125
S.GIOVANNI,,,
FIUMICINO,FIUMICINO,41.7721637,12.2368657
CASALE,,,
ORISTANO,ORISTANO,39.9037353,8.5911836
ALBANO,,,
VILLA,,,
ACQUI,,,
SAN,,,
UDINE,UDINE,46.0625703,13.2348395
GENOVA,GENOVA,44.4114827,8.9326992
OLBIA,OLBIA,40.9231283,9.4799218
AVEZZANO,AVEZZANO,42.0306364,13.4267476
PAOLA,PAOLA,39.3598564,16.0415121
TERNI,TERNI,42.5606759,12.6466854
LECCE,LECCE,40.3534791,18.1718981
RIMINI,RIMINI,44.0608861,12.5656286
VERONA,VERONA,45.4383955,10.993527
SIRACUSA,SIRACUSA,37.0598065,15.2933233
ALBA,ALBA,44.700916,8.035699
STRADELLA,STRADELLA,45.0753053,9.2951673
ARONA,ARONA,45.7604019,8.5594897
IGLESIAS,IGLESIAS,39.3209548,8.5337188
CARBONIA,CARBONIA,39.201549,8.5238556
ASCOLI,,,
COLICO,COLICO,46.1338495,9.3750111
ROVIGO,ROVIGO,45.0710727,11.79007
VERCELLI,VERCELLI,45.3239845,8.4232343
FIUMEFREDDO,,,
BUONCONVENTO,BUONCONVENTO,43.137903,11.4819049
ASTI,ASTI,44.899126,8.2041426
BOZZOLO,BOZZOLO,45.1053135,10.4845164
CARNIA,,,
MONTEROTONDO,MONTEROTONDO,42.0512766,12.6162456
FARA,,,
EMPOLI,EMPOLI,43.7190603,10.9471833
LUINO,LUINO,46.0025042,8.7424293
GALLARATE,GALLARATE,45.6601911,8.7932992
POZZUOLI,POZZUOLI,40.8467581,14.0908902
VAL,,,
SASSARI,SASSARI,40.7266126,8.5596676
ROCCAPALUMBA-ALIA,,,
PISOGNE,PISOGNE,45.8048131,10.1088982
LIMONE,,,
L`AQUILA,,,
FELTRE,FELTRE,46.0178396,11.9099074
RIETI,RIETI,42.4048456,12.862057
CHIAVENNA,CHIAVENNA,46.3210455,9.4054877
LEGNAGO,LEGNAGO,45.191391,11.3075182
SERMIDE,,,
MANDELA-SAMBUCI,,,
BUSTO,,,
MILAZZO,MILAZZO,38.2207751,15.2427359
GIAMPILIERI,,,
MERANO,,,
GIACHERY,,,
FIDENZA,FIDENZA,44.8670844,10.0614142
TERMOLI,TERMOLI,42.0026667,14.9955399
VITERBO,VITERBO,42.4173438,12.1047322
SASSUOLO,SASSUOLO,44.5403172,10.7827016
GUASTALLA,GUASTALLA,44.9223955,10.6540389
CIANO,,,
COLLEFERRO-SEGNI-PALIANO,,,
FRASCATI,FRASCATI,41.8059422,12.6807897
AGRIGENTO,AGRIGENTO,37.3096024,13.5845684
CEFALU`,,,
SCHIO,SCHIO,45.7130676,11.3569367
BITRITTO,BITRITTO,41.0410131,16.8257974
SUZZARA,SUZZARA,44.9902315,10.7456189
PONTEDERA,PONTEDERA,43.6639038,10.6360093
BARDONECCHIA,BARDONECCHIA,45.0781688,6.7038239
ASSO,ASSO,45.8616663,9.2694189
CAMNAGO,,,
LAVENO,,,
ERBA,ERBA,45.8119454,9.2231832
VIGNOLA,VIGNOLA,44.4795276,11.0107571
PRATO,PRATO,43.8806048,11.0970325
LATINA,LATINA,41.4675423,12.9036817
MINTURNO,MINTURNO,41.2623991,13.7465604
MI.P.GENOVA,,,
ALA,ALA,45.7567768,11.0047537
CASTELPLANIO,CASTELPLANIO,43.4945667,13.081351
BERCETO,BERCETO,44.5095197,9.9894023
CARNATE,CARNATE,45.6510728,9.3783364
BENEVENTO,BENEVENTO,41.129644,14.7815123
POTENZA,POTENZA,40.6394086,15.8051432
FORTEZZA,,,
VENTIMIGLIA,VENTIMIGLIA,43.790018,7.6086353
ISERNIA,ISERNIA,41.5879585,14.2257502
DITTAINO,,,
BRENNERO,,,
ORBETELLO,ORBETELLO,42.4373334,11.2094266
CIVITANOVA,,,
TERONTOLA,,,
IVREA,IVREA,45.4661941,7.8759668
VIAREGGIO,VIAREGGIO,43.8669243,10.2498112
BARLETTA,BARLETTA,41.3195048,16.2771701
LOCRI,LOCRI,38.2366537,16.2640203
BRENO,BRENO,45.9560254,10.3020412
EDOLO,EDOLO,46.1782472,10.3371123
S.CANDIDO,,,
CEVA,CEVA,44.3862246,8.0352173
CAMPIGLIA,,,
AULLA,AULLA,44.2093308,9.9681547
TERAMO,TERAMO,42.658883,13.7043972
MELITO,,,
LADISPOLI-CERVETERI,,,
ALCANTARA,,,
CODOGNO,CODOGNO,45.1600278,9.7031917
CATTOLICA,CATTOLICA,43.9637506,12.7446422
TARVISIO,TARVISIO,46.506136,13.5733212
CESANO,,,
CHIERI,CHIERI,45.0131517,7.8210716
PIOLTELLO,PIOLTELLO,45.4967807,9.3281379
ARQUATA,,,
GOLFO,,,
OZIERI,OZIERI,40.5849099,8.9983813
CAPISTRELLO,CAPISTRELLO,41.9655083,13.389665
VILLAMASSARGIA,VILLAMASSARGIA,39.2552138,8.6699119
BUCCINO,BUCCINO,40.6309971,15.3673167
LUNGHEZZA,,,
CASTELBOLOGNESE,,,
CALTAGIRONE,CALTAGIRONE,37.2379771,14.5127363
DECIMOMANNU,DECIMOMANNU,39.3109141,8.9656479
CODIGORO,CODIGORO,44.8318358,12.1050145
TERMINI,,,
MOLTENO,MOLTENO,45.7770764,9.3065866
VIGNA,,,
BRACCIANO,BRACCIANO,42.1033072,12.1756218
BUSALLA,BUSALLA,44.5707931,8.9449805
FORMIA-GAETA,,,
MERCATO,,,
TORRE,,,
CASTELFRANCO,,,
MELEGNANO,MELEGNANO,45.3575343,9.3242522
APRILIA,APRILIA,41.5941031,12.6481664
AUGUSTA,AUGUSTA,37.2304973,15.2194319
CONEGLIANO,CONEGLIANO,45.8871851,12.2977272
IMPERIA,IMPERIA,43.8856884,8.0278506
SALETTO,,,
JESI,JESI,43.522797,13.2438253
CARPI,CARPI,44.7824747,10.8852626
ROVASENDA,ROVASENDA,45.5367966,8.3136149
S.FELICE,,,
S.PIETRO,,,
PADIGLIONE,,,
SARZANA,SARZANA,44.1129151,9.959676
TIRANO,TIRANO,46.216887,10.1753154
TORREBERETTI,,,
VAIRANO,,,
ALASSIO,ALASSIO,44.0080222,8.1729613
EBOLI,EBOLI,40.6181238,15.0544483
MONSELICE,MONSELICE,45.2394701,11.750115
MONTALTO,,,
MINUCCIANO,MINUCCIANO,44.1702969,10.2075641
LEVANTO,LEVANTO,44.1699612,9.6124648
TORTONA,TORTONA,44.8947397,8.8601589
RECCO,RECCO,44.3621819,9.143549
IMOLA,IMOLA,44.3530631,11.7141554
VASTO,VASTO,42.1121688,14.707916
NOCERA,,,
GARBAGNATE,,,
SALSOMAGGIORE,,,
ROVERETO,ROVERETO,45.8864957,11.0451756
MELFI,MELFI,40.9943795,15.652909
TAORMINA,TAORMINA,37.8510327,15.283075
GIOIA,,,
MARZABOTTO,MARZABOTTO,44.3403739,11.2051399
FRANCAVILLA,,,
BAZZANO,,,
PIANORO,PIANORO,44.385099,11.3432594
GIULIANOVA,GIULIANOVA,42.7526246,13.956716
GIARRE,GIARRE,37.729935,15.1844955
CAMPOLIGURE,,,
MAGIONE,MAGIONE,43.1425785,12.2054071
SALBERTRAND,SALBERTRAND,45.0723713,6.8836881
BATTIPAGLIA,BATTIPAGLIA,40.6076141,14.9834355
PATTI-SAN,,,
S.LAZZARO,,,
BARAGIANO,BARAGIANO,40.6795038,15.5942002
CITTADELLA,CITTADELLA,45.6485919,11.7836545
CORNIGLIA,,,
MONTEVARCHI,MONTEVARCHI,43.5235828,11.567469
AVERSA,AVERSA,40.9730196,14.2062666
MARRADI,MARRADI,44.0754494,11.6127649
AVIANO,AVIANO,46.0672177,12.5881796
ATTIGLIANO,ATTIGLIANO,42.5149005,12.2894226
PONTASSIEVE,PONTASSIEVE,43.7757937,11.4398655
FORLI`,,,
BESANA,,,
MONTECATINI,,,
CHIETI,CHIETI,42.3509928,14.1675427
MACOMER,MACOMER,40.2649786,8.7825028
PIOMBINO,PIOMBINO,42.9219385,10.5274135
POGGIBONSI,POGGIBONSI,43.4668489,11.1466271
CASSANO,,,
ZAGAROLO,ZAGAROLO,41.8398184,12.8296354
SOLAROLO,SOLAROLO,44.3601603,11.843752
MACCARESE,,,
BORGOMANERO,BORGOMANERO,45.698883,8.4629865
CALOLZIOCORTE,CALOLZIOCORTE,45.8018019,9.4321101
CARMAGNOLA,CARMAGNOLA,44.8465448,7.7181575
ALBAIRATE,ALBAIRATE,45.4187106,8.9351739
CASALETTO,,,
MARINO,MARINO,41.7696536,12.6586071
VERNIO,VERNIO,44.0533294,11.1557588
LODI,LODI,45.3144099,9.5037208
S.,,,
LATISANA,LATISANA,45.7759682,12.9952955
VILLANOVA,,,
GIOVINAZZO,GIOVINAZZO,41.1880532,16.6726122
CASALPUSTERLENGO,CASALPUSTERLENGO,45.1777976,9.6510712
ANTRODOCO,ANTRODOCO,42.4174959,13.0802015
PIEDIMONTE-V.S.L.-AQUINO,,,
MONTEROSSO,,,
TRANI,TRANI,41.2740349,16.4172134
TERNO,,,
CAPRANICA,CAPRANICA,42.2566375,12.1780595
VENARIA,,,
ALBENGA,ALBENGA,44.0490915,8.2129474
NOVATE-MEZZOLA,,,
CAMNAGO-LENTATE,,,
SEREGNO,SEREGNO,45.6502205,9.201766
FILATTIERA,FILATTIERA,44.331267,9.9368775
CISTERNA,,,
ROBBIO,ROBBIO,45.2891186,8.5939575
VERDELLO,VERDELLO,45.6065292,9.6270239
CODOLA,,,
CIRE\',,,
FORNACI,,,
CARIMATE,CARIMATE,45.7026944,9.115251
INCISA,,,
MONTEPULCIANO,MONTEPULCIANO,43.0925253,11.7807007
PESCIA,PESCIA,43.9031412,10.6885925
CERVIGNANO,,,
VILLAFRANCA,,,
ANGUILLARA,,,
CAPUA,CAPUA,41.1075713,14.2108461
MONFALCONE,MONFALCONE,45.8092448,13.5326476
TAVAZZANO,,,
MEDA,MEDA,45.6615589,9.1552722
LAVEZZOLA,,,
CITTADUCALE,CITTADUCALE,42.3866215,12.948148
CANDIOLO,CANDIOLO,44.9602633,7.6012111
S.MARIA,,,
RHO,RHO,45.528912,9.040217
ROSARNO,ROSARNO,38.4875208,15.9828233
ARECHI,,,
MERCATELLO,,,
CANCELLO,,,
VIPITENO,,,
COGOLETO,COGOLETO,44.3894582,8.6463299
PORDENONE,PORDENONE,45.9544487,12.66003
LETOJANNI,LETOJANNI,37.8802094,15.3062471
FOLLONICA,FOLLONICA,42.9225695,10.7598806
CAVALLERMAGGIORE,CAVALLERMAGGIORE,44.7078515,7.687748
DOMEGLIARA,,,
PAESTUM,,,
OSTUNI,OSTUNI,40.7321399,17.5778218
CASALBUTTANO,,,
CASTELLAMMARE,,,
VARANO,,,
AVIGLIANA,AVIGLIANA,45.0793571,7.3963234
CECINA,CECINA,43.3121576,10.5193646
ORVIETO,ORVIETO,42.7181431,12.1083084
FIORENZUOLA,,,
ALTAVILLA,,,
GRICIGNANO,,,
PERGINE,,,
VENAFRO,VENAFRO,41.48614,14.0451054
CREVALCORE,CREVALCORE,44.7226389,11.1470344
CASALECCHIO,,,
ALBACINA,,,
GALATI,,,
COLORNO,COLORNO,44.9287926,10.3756497
PAVONA,,,
CECCHINA,,,
MANDATORICCIO,MANDATORICCIO,39.4701518,16.8366865
STRONGOLI,STRONGOLI,39.2674219,17.052721
SARNO,SARNO,40.8152734,14.6188943
VIA,,,
BARONISSI,BARONISSI,40.7463693,14.7702092
FRATTE,,,
NOALE,NOALE,45.5505611,12.0704105
SECUGNAGO,SECUGNAGO,45.2303463,9.5914169
NOGARA,NOGARA,45.1778411,11.0609056
COCCAGLIO,COCCAGLIO,45.5623913,9.9769612
DUEVILLE,DUEVILLE,45.6356977,11.5487654
GIOIOSA,,,
ALTOPASCIO,ALTOPASCIO,43.8150175,10.6747442
CAMMARATA,CAMMARATA,37.6326245,13.6379709
VICOFERTILE,,,
BUSSETO,BUSSETO,44.981327,10.0413231
BORDIGHERA,BORDIGHERA,43.7797422,7.6718889
BIVIO,,,
POMPEI,POMPEI,40.7483563,14.5000092
OLMENETA,OLMENETA,45.2344691,10.0247433
